ID,color_blind,yrs_english,video_games,device,headphones,order_of_levels,level1,sleep1,start_time1,OffTime1,OnTime1,Total_runs_Stroop_Off1,Total_runs_Stroop_On1,OnTime_minus_OffTime1,level2,sleep2,start_time2,OffTime2,OnTime2,Total_runs_Stroop_Off2,Total_runs_Stroop_On2,OnTime_minus_OffTime2,level3,sleep3,start_time3,OffTime3,OnTime3,Total_runs_Stroop_Off3,Total_runs_Stroop_On3,OnTime_minus_OffTime3,ID,,
1,No,12,No,iPhone / iPod,Over-ear headphones; noise cancelling,Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);,QUI,8,17:00:00,47.379,50.003,6,7,2.624,EDS,8,17:20:00,46.169,48.313,5,5,2.144,CLA,8,17:40:00,44.765,45.911,6,7,1.146,1,,
2,No,7,No,Android phone,In-ear headphones; not noise cancelling,,QUI,8,10:49:00,61.675,74.913,5,5,13.238,CLA,8,11:42:00,64.676,64.676,6,6,25.934,EDS,8,11:53:00,70.651,82.432,6,7,11.781,2,,
3,No,4,No,iPhone / iPod,Over-ear headphones; noise cancelling,,QUI,9,13:00:00,75.542,82.57,5,5,7.028,EDS,9,13:30:00,79.855,88.525,5,5,8.67,CLA,8,13:00:00,77.63,83.015,5,5,5.385,3,,Remove  Total # of Stroop <=5
4,No,5,No,iPad tablet,In-ear headphones; not noise cancelling,Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);,QUI,7,12:05:00,62.823,75.34,5,5,12.518,EDS,7,12:12:00,65.072,75.898,6,5,10.826,CLA,7,12:18:00,64.517,73.342,5,6,8.825,4,,"How to deal with missing value? (In time, people putting evening)"
5,No,18,No,Android phone,In-ear headphones; not noise cancelling,Classical (Mozart);Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);,CLA,8,11:25:00,48.707,61.569,5,5,12.862,QUI,8,11:30:00,50.179,54.965,5,5,4.786,EDS,8,11:35:00,47.539,55.176,5,5,7.637,5,,"How should we work with time of the date? Should we segment it by period (Morning, Afternoon, Evening)"
6,No,4,Yes,iPhone / iPod,Over-ear headphones; not noise cancelling,Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);Control (quiet);,EDS,7,13:23:00,55.982,65.715,5,5,9.733,CLA,7,13:35:00,54.149,58.828,6,5,4.679,QUI,7,13:42:00,54.655,63.137,6,5,8.482,6,,Missing data on G: Ranking of Order of Level of Distractions
7,No,17,Yes,iPhone / iPod,Over-ear headphones; noise cancelling,,QUI,7,4:40:00,40.78,44.449,16,21,3.67,CLA,7,4:53:00,44.229,45.964,14,16,1.735,EDS,7,5:00:00,38.798,42.046,10,9,3.248,7,,
8,No,6,No,iPhone / iPod,In-ear headphones; not noise cancelling,,QUI,10,10:04:00,54.597,73.384,5,5,18.787,CLA,10,10:10:00,58.037,66.203,5,6,8.166,EDS,10,10:16:00,57.47,65.333,5,5,7.863,8,,"In the EDA, can include: Summary Statistics, Methods, Plots"
9,Yes,3,Yes,iPad tablet,In-ear headphones; noise cancelling,Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);,QUI,8,9:53:00,65.122,64.081,8,5,-1.041,EDS,8,10:05:00,59.274,63.402,6,7,4.128,CLA,8,10:18:00,64.517,61.536,5,6,-2.981,9,,Consider all of the variables in some way; Not neccessary to use all of it
10,No,5,No,iPad tablet,Over-ear headphones; noise cancelling,Control (quiet);Classical (Mozart);Song with lyrics (Shape of You by Ed Sheeran);,QUI,7,15:49:00,59.321,68.984,5,5,9.663,CLA,7,16:01:00,57.499,60.073,5,5,2.574,EDS,7,16:09:00,57.778,62.856,6,6,5.079,10,,
